image_path,label
dataset\neutral\neutral_0.jpg,neutral
dataset\sad\sad_0.jpg,sad
dataset\sad\sad_1.jpg,sad
dataset\neutral\neutral_1.jpg,neutral
dataset\sad\sad_2.jpg,sad
dataset\sad\sad_3.jpg,sad
dataset\sad\sad_4.jpg,sad
dataset\sad\sad_5.jpg,sad
dataset\neutral\neutral_2.jpg,neutral
dataset\neutral\neutral_3.jpg,neutral
dataset\neutral\neutral_4.jpg,neutral
dataset\sad\sad_6.jpg,sad
dataset\sad\sad_7.jpg,sad
dataset\sad\sad_8.jpg,sad
dataset\neutral\neutral_5.jpg,neutral
dataset\sad\sad_9.jpg,sad
dataset\neutral\neutral_6.jpg,neutral
dataset\sad\sad_10.jpg,sad
dataset\sad\sad_11.jpg,sad
dataset\neutral\neutral_7.jpg,neutral
dataset\neutral\neutral_8.jpg,neutral
dataset\neutral\neutral_9.jpg,neutral
dataset\neutral\neutral_10.jpg,neutral
dataset\neutral\neutral_11.jpg,neutral
dataset\neutral\neutral_12.jpg,neutral
dataset\neutral\neutral_13.jpg,neutral
dataset\neutral\neutral_14.jpg,neutral
dataset\neutral\neutral_15.jpg,neutral
dataset\neutral\neutral_16.jpg,neutral
dataset\neutral\neutral_17.jpg,neutral
dataset\sad\sad_12.jpg,sad
dataset\sad\sad_13.jpg,sad
dataset\neutral\neutral_18.jpg,neutral
dataset\neutral\neutral_19.jpg,neutral
dataset\sad\sad_14.jpg,sad
dataset\neutral\neutral_20.jpg,neutral
dataset\neutral\neutral_21.jpg,neutral
dataset\neutral\neutral_22.jpg,neutral
dataset\neutral\neutral_23.jpg,neutral
dataset\neutral\neutral_24.jpg,neutral
dataset\neutral\neutral_25.jpg,neutral
dataset\neutral\neutral_26.jpg,neutral
dataset\neutral\neutral_27.jpg,neutral
dataset\neutral\neutral_28.jpg,neutral
dataset\angry\angry_0.jpg,angry
dataset\neutral\neutral_29.jpg,neutral
dataset\neutral\neutral_30.jpg,neutral
dataset\neutral\neutral_31.jpg,neutral
dataset\neutral\neutral_32.jpg,neutral
dataset\neutral\neutral_33.jpg,neutral
dataset\neutral\neutral_34.jpg,neutral
dataset\neutral\neutral_35.jpg,neutral
dataset\neutral\neutral_36.jpg,neutral
dataset\neutral\neutral_37.jpg,neutral
dataset\neutral\neutral_38.jpg,neutral
dataset\neutral\neutral_39.jpg,neutral
dataset\neutral\neutral_40.jpg,neutral
dataset\neutral\neutral_41.jpg,neutral
dataset\neutral\neutral_42.jpg,neutral
dataset\neutral\neutral_43.jpg,neutral
dataset\neutral\neutral_44.jpg,neutral
dataset\neutral\neutral_45.jpg,neutral
dataset\neutral\neutral_46.jpg,neutral
dataset\neutral\neutral_47.jpg,neutral
dataset\neutral\neutral_48.jpg,neutral
dataset\neutral\neutral_49.jpg,neutral
dataset\neutral\neutral_50.jpg,neutral
dataset\neutral\neutral_51.jpg,neutral
dataset\neutral\neutral_52.jpg,neutral
dataset\neutral\neutral_53.jpg,neutral
dataset\neutral\neutral_54.jpg,neutral
dataset\neutral\neutral_55.jpg,neutral
dataset\neutral\neutral_56.jpg,neutral
dataset\neutral\neutral_57.jpg,neutral
dataset\neutral\neutral_58.jpg,neutral
dataset\neutral\neutral_59.jpg,neutral
dataset\neutral\neutral_60.jpg,neutral
dataset\neutral\neutral_61.jpg,neutral
dataset\neutral\neutral_62.jpg,neutral
dataset\neutral\neutral_63.jpg,neutral
dataset\neutral\neutral_64.jpg,neutral
dataset\neutral\neutral_65.jpg,neutral
dataset\neutral\neutral_66.jpg,neutral
dataset\neutral\neutral_67.jpg,neutral
dataset\sad\sad_15.jpg,sad
dataset\neutral\neutral_68.jpg,neutral
dataset\happy\happy_0.jpg,happy
dataset\fear\fear_0.jpg,fear
dataset\sad\sad_16.jpg,sad
dataset\neutral\neutral_69.jpg,neutral
dataset\neutral\neutral_70.jpg,neutral
dataset\neutral\neutral_71.jpg,neutral
dataset\neutral\neutral_72.jpg,neutral
dataset\neutral\neutral_73.jpg,neutral
dataset\neutral\neutral_74.jpg,neutral
dataset\neutral\neutral_75.jpg,neutral
dataset\neutral\neutral_76.jpg,neutral
dataset\neutral\neutral_77.jpg,neutral
dataset\neutral\neutral_78.jpg,neutral
dataset\neutral\neutral_79.jpg,neutral
dataset\neutral\neutral_80.jpg,neutral
dataset\neutral\neutral_81.jpg,neutral
dataset\neutral\neutral_82.jpg,neutral
dataset\neutral\neutral_83.jpg,neutral
dataset\neutral\neutral_84.jpg,neutral
dataset\neutral\neutral_85.jpg,neutral
dataset\neutral\neutral_86.jpg,neutral
dataset\fear\fear_1.jpg,fear
dataset\neutral\neutral_87.jpg,neutral
dataset\fear\fear_2.jpg,fear
dataset\fear\fear_3.jpg,fear
dataset\fear\fear_4.jpg,fear
dataset\fear\fear_5.jpg,fear
dataset\neutral\neutral_88.jpg,neutral
dataset\neutral\neutral_89.jpg,neutral
dataset\neutral\neutral_90.jpg,neutral
dataset\neutral\neutral_91.jpg,neutral
dataset\neutral\neutral_92.jpg,neutral
dataset\neutral\neutral_93.jpg,neutral
dataset\happy\happy_1.jpg,happy
dataset\fear\fear_6.jpg,fear
dataset\happy\happy_2.jpg,happy
dataset\fear\fear_7.jpg,fear
dataset\fear\fear_8.jpg,fear
dataset\fear\fear_9.jpg,fear
dataset\fear\fear_10.jpg,fear
dataset\fear\fear_11.jpg,fear
dataset\fear\fear_12.jpg,fear
dataset\fear\fear_13.jpg,fear
dataset\fear\fear_14.jpg,fear
dataset\happy\happy_3.jpg,happy
dataset\surprise\surprise_0.jpg,surprise
dataset\fear\fear_15.jpg,fear
dataset\fear\fear_16.jpg,fear
dataset\happy\happy_4.jpg,happy
dataset\happy\happy_5.jpg,happy
dataset\fear\fear_17.jpg,fear
dataset\fear\fear_18.jpg,fear
dataset\fear\fear_19.jpg,fear
dataset\happy\happy_6.jpg,happy
dataset\fear\fear_20.jpg,fear
dataset\fear\fear_21.jpg,fear
dataset\fear\fear_22.jpg,fear
dataset\fear\fear_23.jpg,fear
dataset\happy\happy_7.jpg,happy
dataset\happy\happy_8.jpg,happy
dataset\happy\happy_9.jpg,happy
dataset\fear\fear_24.jpg,fear
dataset\happy\happy_10.jpg,happy
dataset\happy\happy_11.jpg,happy
dataset\happy\happy_12.jpg,happy
dataset\happy\happy_13.jpg,happy
dataset\happy\happy_14.jpg,happy
dataset\happy\happy_15.jpg,happy
dataset\neutral\neutral_94.jpg,neutral
dataset\neutral\neutral_95.jpg,neutral
dataset\neutral\neutral_96.jpg,neutral
dataset\neutral\neutral_97.jpg,neutral
dataset\neutral\neutral_98.jpg,neutral
dataset\neutral\neutral_99.jpg,neutral
dataset\neutral\neutral_100.jpg,neutral
dataset\sad\sad_17.jpg,sad
dataset\sad\sad_18.jpg,sad
dataset\neutral\neutral_101.jpg,neutral
dataset\fear\fear_25.jpg,fear
dataset\neutral\neutral_102.jpg,neutral
dataset\neutral\neutral_103.jpg,neutral
dataset\neutral\neutral_104.jpg,neutral
dataset\neutral\neutral_105.jpg,neutral
dataset\neutral\neutral_106.jpg,neutral
dataset\neutral\neutral_107.jpg,neutral
dataset\neutral\neutral_108.jpg,neutral
dataset\fear\fear_26.jpg,fear
dataset\fear\fear_27.jpg,fear
dataset\fear\fear_28.jpg,fear
dataset\fear\fear_29.jpg,fear
dataset\neutral\neutral_109.jpg,neutral
dataset\fear\fear_30.jpg,fear
dataset\neutral\neutral_110.jpg,neutral
dataset\fear\fear_31.jpg,fear
dataset\neutral\neutral_111.jpg,neutral
dataset\neutral\neutral_112.jpg,neutral
dataset\neutral\neutral_113.jpg,neutral
dataset\neutral\neutral_114.jpg,neutral
dataset\sad\sad_19.jpg,sad
dataset\neutral\neutral_115.jpg,neutral
dataset\neutral\neutral_116.jpg,neutral
dataset\neutral\neutral_117.jpg,neutral
dataset\neutral\neutral_118.jpg,neutral
dataset\sad\sad_20.jpg,sad
dataset\neutral\neutral_119.jpg,neutral
dataset\neutral\neutral_120.jpg,neutral
dataset\neutral\neutral_121.jpg,neutral
dataset\neutral\neutral_122.jpg,neutral
dataset\neutral\neutral_123.jpg,neutral
dataset\sad\sad_21.jpg,sad
dataset\neutral\neutral_124.jpg,neutral
dataset\neutral\neutral_125.jpg,neutral
dataset\neutral\neutral_126.jpg,neutral
dataset\neutral\neutral_127.jpg,neutral
dataset\sad\sad_22.jpg,sad
dataset\neutral\neutral_128.jpg,neutral
dataset\angry\angry_1.jpg,angry
dataset\angry\angry_2.jpg,angry
dataset\neutral\neutral_129.jpg,neutral
dataset\angry\angry_3.jpg,angry
dataset\neutral\neutral_130.jpg,neutral
dataset\neutral\neutral_131.jpg,neutral
dataset\neutral\neutral_132.jpg,neutral
dataset\neutral\neutral_133.jpg,neutral
dataset\neutral\neutral_134.jpg,neutral
dataset\neutral\neutral_135.jpg,neutral
dataset\neutral\neutral_136.jpg,neutral
dataset\neutral\neutral_137.jpg,neutral
dataset\neutral\neutral_138.jpg,neutral
dataset\neutral\neutral_139.jpg,neutral
dataset\neutral\neutral_140.jpg,neutral
dataset\neutral\neutral_141.jpg,neutral
dataset\neutral\neutral_142.jpg,neutral
dataset\neutral\neutral_143.jpg,neutral
dataset\neutral\neutral_144.jpg,neutral
dataset\neutral\neutral_145.jpg,neutral
dataset\neutral\neutral_146.jpg,neutral
dataset\neutral\neutral_147.jpg,neutral
dataset\neutral\neutral_148.jpg,neutral
dataset\neutral\neutral_149.jpg,neutral
dataset\neutral\neutral_150.jpg,neutral
dataset\neutral\neutral_151.jpg,neutral
dataset\fear\fear_32.jpg,fear
dataset\fear\fear_33.jpg,fear
dataset\neutral\neutral_152.jpg,neutral
dataset\neutral\neutral_153.jpg,neutral
dataset\neutral\neutral_154.jpg,neutral
dataset\neutral\neutral_155.jpg,neutral
dataset\neutral\neutral_156.jpg,neutral
dataset\fear\fear_34.jpg,fear
dataset\neutral\neutral_157.jpg,neutral
dataset\neutral\neutral_158.jpg,neutral
dataset\neutral\neutral_159.jpg,neutral
dataset\neutral\neutral_160.jpg,neutral
dataset\neutral\neutral_161.jpg,neutral
dataset\neutral\neutral_162.jpg,neutral
dataset\neutral\neutral_163.jpg,neutral
dataset\neutral\neutral_164.jpg,neutral
dataset\neutral\neutral_165.jpg,neutral
dataset\neutral\neutral_166.jpg,neutral
dataset\neutral\neutral_167.jpg,neutral
dataset\neutral\neutral_168.jpg,neutral
dataset\neutral\neutral_169.jpg,neutral
dataset\neutral\neutral_170.jpg,neutral
dataset\neutral\neutral_171.jpg,neutral
dataset\happy\happy_16.jpg,happy
dataset\happy\happy_17.jpg,happy
dataset\neutral\neutral_172.jpg,neutral
dataset\happy\happy_18.jpg,happy
dataset\neutral\neutral_173.jpg,neutral
dataset\neutral\neutral_174.jpg,neutral
dataset\neutral\neutral_175.jpg,neutral
dataset\neutral\neutral_176.jpg,neutral
dataset\fear\fear_35.jpg,fear
dataset\neutral\neutral_177.jpg,neutral
dataset\neutral\neutral_178.jpg,neutral
dataset\neutral\neutral_179.jpg,neutral
dataset\neutral\neutral_180.jpg,neutral
dataset\neutral\neutral_181.jpg,neutral
dataset\neutral\neutral_182.jpg,neutral
dataset\neutral\neutral_183.jpg,neutral
dataset\neutral\neutral_184.jpg,neutral
dataset\neutral\neutral_185.jpg,neutral
dataset\neutral\neutral_186.jpg,neutral
dataset\neutral\neutral_187.jpg,neutral
dataset\neutral\neutral_188.jpg,neutral
dataset\neutral\neutral_189.jpg,neutral
dataset\neutral\neutral_190.jpg,neutral
dataset\neutral\neutral_191.jpg,neutral
dataset\neutral\neutral_192.jpg,neutral
dataset\neutral\neutral_193.jpg,neutral
dataset\neutral\neutral_194.jpg,neutral
dataset\neutral\neutral_195.jpg,neutral
dataset\neutral\neutral_196.jpg,neutral
dataset\neutral\neutral_197.jpg,neutral
dataset\neutral\neutral_198.jpg,neutral
dataset\neutral\neutral_199.jpg,neutral
dataset\neutral\neutral_200.jpg,neutral
dataset\neutral\neutral_201.jpg,neutral
dataset\neutral\neutral_202.jpg,neutral
dataset\neutral\neutral_203.jpg,neutral
dataset\neutral\neutral_204.jpg,neutral
dataset\neutral\neutral_205.jpg,neutral
dataset\neutral\neutral_206.jpg,neutral
dataset\neutral\neutral_207.jpg,neutral
dataset\neutral\neutral_208.jpg,neutral
dataset\neutral\neutral_209.jpg,neutral
dataset\neutral\neutral_210.jpg,neutral
dataset\neutral\neutral_211.jpg,neutral
dataset\neutral\neutral_212.jpg,neutral
dataset\neutral\neutral_213.jpg,neutral
dataset\neutral\neutral_214.jpg,neutral
dataset\neutral\neutral_215.jpg,neutral
